judul,topik,sub_topik,topik_pilihan,tanggal_waktu_publish,redaksi,advetorial,isi_berita,link
"Dosen di Solo Terjerat Kasus Penipuan Jual Beli Tanah, Tawarkan 1 Kaveling ke Banyak Pembeli",Regional,Belum ditentukan,Bukan topik pilihan,2024-09-06 16:46:00,Rachmawati,Non Advertorial,"KOMPAS.com - H, salah satu dosen di Solo, Jawa Tengah ditangkap Polres Karangayar atas kasus dugaan penipuan jual beli tanah. Awalnya ia diamankan oleh para korban penipuannya dari sebuah indekos yang ada di Kabupaten Klaten pada Senin (2/9/2024) malam. Lalu H diserahkan ke polisi. Hal tersebut dibenarkan oleh kuasa hukum kornban, Wiranto. Ia mengatakan penangkapan dilakukan setelah para korban menerima kabar jika H melarikan diri. ""Kami sempat (menerima) kabar pelaku lari, dan akhirnya berhasil ditemukan di salah satu kos-kosan di Kelurahan Buntalan, Kecamatan Klaten Tengah, Kabupaten Klaten,""kata Wiranto, Rabu (4/9/2024). Baca juga: Penjual Sayur Tewas Ditabrak Pengendara Mobil Mabuk di Solo, Keluarga Korban: Usut Tuntas Wiranto mengatakan H sempat dibawa ke Polres Klaten pukul 22.00 WIB. Lalu H dibawa ke Polres Karanganyar dan tiba pada pukul 24.00 WIB. Pihaknya meminta penyidik untuk melakukan penahanan pada H karena ada indikasi pelaku akan kabur lagi. ""Setelah diskusi, ternyata sudah ada korban yang melapor ke Polres Karanganyar dan belum ada penahanan karena baru diproses, oleh karena itu setelah komunikasi, penyidik mau melakukan penahanan,"" kata dia. Sebagai kuasa hukum korban, Wiranto membeberkan modus yang digunakan pelaku yakni tumpang tindih lokasi kaveling. Artinya adalah H menawarkan satu kavaling ke korban hingga deal. Namun, tanah satu kaveling itu ternyata sudah ditawarkan ke pembeli sebelumnya. ""Modusnya, satu kampling dibeli korban A, sebelumnya kampling itu sudah dijual oleh korban lainnya hingga bertumpuk-tumpuk,"" kata dia, Rabu (4/9/2024). ""Pelaku menawarkan korban satu bidang tanah, kemudian setelah deal, bidang tanah itu malah dijual ke korban lain,"" tambah dia. Baca juga: Ikan Asin Berformalin Ditemukan Beredar di Pasar Tradisional di Solo Tanah yang ditawarkan berada di Perum Griya Bimantara, Kelurahan Lalung, Kecamatan/Kabupaten Karanganyar. Korban diduga mencapai seratusan orang. Di antara para korban, tiga di antaranya adalah klien dari Wiranto yang salah satunya berinsial M, warga Ringin Asri, Kelurahan Bejen, Karanganyar. ""Kerugian yang dialami klien kami ada Rp 450 juta, namun ternyata masih ada yang menjadi korban pelaku,"" kata dia. ""Kami baru membuat laporan hari ini, tapi ternyata sudah ada korbannya lain yang membuat laporan ke polisi,"" tambah dia. Ia mengatakan kasus tersebut berawal saat kliennya memlihat iklan penjualan tanah dan menghubungi sales marketing tersebut yakni H. Korban menghubungi H pada 9 Maret 2024. H memberikan penawaran kepada korban kaveling bertuliskan Blok A1 dengan harga Rp 195 juta untuk bidang tanah saja. Baca juga: Calon Konsumen Merasa Tertipu, Rumah Murah Surabaya Ternyata di Madura Masing-masing kaveling memiliki harga di kisaran Rp 195 juta untuk bidang tanah saja. Selain bidang tanah, H juga menawarkan Rp 250 juta untuk bangunan. Setelah menghubungi pelaku, korban lalu mengecek lokasi pada 10 Mei 2024. Korban tertarik dengan kaveling blok yang ditawarkan pelaku karena dekat dengan jalan raya. Setelah menyatakan tertarik, korban langsung dibawa pelaku ke Notaris untuk penandatanganan Akta Jual Beli. Dengan bujuk rayu pelaku, korban langsung membayar secara tunai.",https://regional.kompas.com/read/2024/09/06/164600878/dosen-di-solo-terjerat-kasus-penipuan-jual-beli-tanah-tawarkan-1-kaveling
"Indonesia-Africa Forum Sepakati Kerja Sama Bisnis Rp 53,9 Triliun",Money,Ekbis,Bukan topik pilihan,2024-09-06 16:44:00,"Yohana Artha Uly, Sakina Rakhma Diah Setiawan",Non Advertorial,"JAKARTA, KOMPAS.com - Pertemuan Indonesia-Africa Forum (IAF) ke-2 2024 mencatatkan 32 kerja sama bisnis dengan total nilai mencapai 3,5 miliar dollar AS atau berkisar Rp 53,9 triliun (asumsi kurs Rp 14.500 per dollar AS).   Adapun pertemuan IAF berlangsung pada 1 sampai 3 September 2024 di Bali yang dihadiri oleh para kepala negara, menteri, dan pelaku usaha dari Indonesia serta negara-negara di Afrika.   Direktur Afrika Direktorat Jenderal Asia, Pasifik, dan Afrika Kementerian Luar Negeri Dewi Justicia Meidiwaty mengatakan, pertemuan ini telah mencapai sejumlah kesepakatan penting sektor industri strategis, bisnis kesehatan, dan bisnis energi baru terbarukan (EBT). Baca juga: Pertamina NRE dan Guma Sepakat Kembangkan Pembangkit Listrik Gas di Afrika Selatan SHUTTERSTOCK/POPTIKA Ilustrasi energi baru dan terbarukan (EBT). Menurutnya, IAF tidak hanya menjadi ajang BUMN maupun swasta untuk mendapat potensi kerja sama bisnis, namun juga melibatkan pelaku UMKM.   Hal itu seiring dengan tercapainya 16 kesepakatan bisnis antara UMKM Indonesia dengan perusahaan-perusahaan asal Afrika dalam ekshibisi yang berlangsung, serta mendapatkan kunjungan dari lima pemimpin negara Afrika.   ""Ini yang menjadikan forum kali ini bersifat lebih inklusif,"" ujar Dewi dalam keterangannya, Jumat (6/9/2024).   Selain kesepakatan yang melibatkan UMKM, dalam pertemuan tersebut diteken pula Memorandum of Cooperation (MoC) antara Kementerian Luar Negeri dan Japan International Cooperation Agency (JICA) untuk kerja sama pembangunan Afrika. Baca juga: KJRI Cape Town Promosi Produk Kelapa Sawit Indonesia di Afrika Selatan  IAF ke-2 juga memperkuat kerja sama ekonomi dan bisnis antara Indonesia dan Afrika, yang sekaligus membuka peluang baru untuk pertumbuhan dan kemajuan di kedua wilayah.",https://money.kompas.com/read/2024/09/06/164456726/indonesia-africa-forum-sepakati-kerja-sama-bisnis-rp-539-triliun
Kronologi Suami Bunuh Istri Usai Cekcok di Kontrakan Pasar Minggu,News,Megapolitan,Bukan topik pilihan,2024-09-06 16:43:00,"Achmad Nasrudin Yahya, Irfan Maullana",Non Advertorial,"JAKARTA, KOMPAS.com - Polres Metro Jakarta Selatan menangkap Achmad Syarifudin (30), pelaku pembunuhan istrinya, FF (26), di sebuah kontrakan di Jalan Sepat, Pasar Minggu, Jakarta Selatan, Rabu (4/9/2024) dini hari. Kasat Reskrim Polres Metro Jakarta Selatan, AKBP Gogo Galesung menjelaskan, kejadian ini bermula ketika pelaku pulang kerja dan mengeluh tidak enak badan kepada korban pada Selasa (3/9/2024), sekitar pukul 19.00 WIB. ""Pelaku pulang kerja dan mengatakan kepada korban sedang tidak enak badan dan meminta teh hangat,"" kata Gogo dalam konferensi pers di Polres Metro Jakarta Selatan, Jumat (6/9/2024). Korban kemudian memberikan teh yang diminta, kemudian keluar kontrakan. Namun, pelaku meminta korban untuk kembali ke kontrakan, yang berujung pada percekcokan. Baca juga: Seorang Istri Dibunuh Suaminya di Rumah Kontrakan Pasar Minggu ""Sampai di kontrakan, pelaku langsung menutup pintu dan sempat terjadi percekcokan antara pelaku dengan korban,"" ujar Gogo. Setelah cekcok, pelaku menuju rumah mertuanya yang bersebelahan untuk mengambil sebilah pisau, lalu kembali ke kontrakan. Di kamar, mereka kembali berselisih hingga pelaku menusuk korban yang saat itu sedang tiduran. ""Tetapi tidak tembus karena mengenai tali bra korban. Korban memberontak dengan memukuli pelaku sambil berteriak minta tolong,"" ungkap Gogo. Pelaku kemudian menusuk beberapa bagian tubuh korban, mulai dari perut, paha, leher, dan telinga. Paman korban, yang mendengar teriakan, mendatangi kontrakan dan menemukan tubuh korban sudah berlumuran darah. Baca juga: Bermula dari Cekcok, Suami Bunuh Istri di Rumah Kontrakan Pasar Minggu Tak lama kemudian, ketua RT dan polisi tiba di lokasi. Pelaku langsung ditangkap oleh petugas. Gogo menambahkan, motif pembunuhan ini adalah kecemburuan pelaku yang mengetahui dari anak korban bahwa korban diduga berselingkuh dengan pria lain. ""Untuk motif, pelaku cemburu karena mengetahui dari anak korban bahwa korban berselingkuh dengan laki-laki lain,"" ungkapnya. Achmad Syarifudin kini dijerat Pasal 44 Ayat (3) UU Nomor 23 Tahun 2004 tentang Penghapusan KDRT dengan ancaman hukuman maksimal 15 tahun penjara. Baca juga: Dipicu Kehadiran Pria Idaman Lain, Suami Bunuh Istrinya di Rumah Kontrakan Pasar Minggu",https://megapolitan.kompas.com/read/2024/09/06/16431121/kronologi-suami-bunuh-istri-usai-cekcok-di-kontrakan-pasar-minggu
Simak Perbedaan Tiga Tipe Toyota New Fortuner,Otomotif,Mobil,Bukan topik pilihan,2024-09-06 16:41:00,"Aprida Mega Nanda, Azwar Ferdian",Non Advertorial,"JAKARTA, KOMPAS.com - PT Toyota Astra Motor (TAM) baru saja meluncurkan New Fortuner pada Jumat (6/9/2024). Generasi anyar dari Fortuner ini mendapat sejumlah pembaruan dari sisi eksterior, interior dan fitur. New Fortuner hadir dengan tiga tipe, yakni SRZ, VRZ dan GR Sport. Sedangkan untuk model Fortuner 2.4 tidak mendapat pembaruan. Ketiga model tersebut memiliki dimensi yang sama, yakni panjang 4.795 mm, lebar 1.855 mm dan tinggi 1.835 mm dan wheelbase 2.745 mm. Baca juga: Platform Jual-Beli Mobil Bekas Ini Tawarkan Ragam Kemudahan Bicara soal tampilan, hampir tidak ada perbedaan yang signifikan. Tampilan grill tampak lebih minimalis namun tetap terlihat modern dan gagah, persis seperti Fortuner Legender yang sebelumnya sudah meluncur di Thailand. Kompas.com/Nanda New Fortuner Hanya saja ada perbedaan pada bagian bumper depan dan bumper belakang untuk tipe SRZ, VRZ dan GR Sport. Untuk bagian bumper tipe SRZ dan VRZ tampak tangguh dengan bumper aksen silver, sementara untuk GR Sport bentuk bumper tampil lebih agresif. Berlanjut ke bagian kaki-kaki, untuk tipe SRZ dan VRZ dibekali pelek berukuran 18 inci berwarna hitam. Adapun untuk Fortuner GR Sport tampilan pelek lebih gagah dengan model two tone. Masuk ke bagian interior, layout New Fortuner masih sama seperti model sebelumnya. Tidak ada perbedaan yang mencolok. Namun, untuk model GR mendapat tambahan jahitan berwarna merah, seperti pada bagian dasbor, jok, setir dan door trim. Kompas.com/Nanda New Fortuner Baik tipe SRZ, VRZ, maupun GR Sport sudah disematkan head unit berukuran 9 inci yang sudah terintegrasi dengan New T-intouch, sementara di baris kedua terdapat layar infotainment berukuran 11,6 inci. Pada fitur keamanan, tipe GR Sport dan VRZ 2.8 sudah mendapat 7 SRS Airbags, sedangkan untuk Toyota Safety Sense (TSS) baru disematkan pada model GR Sport 2.8 dan VRZ TSS. Bicara jantung pacu, tipe SRZ dibekali mesin bensin 2.700 cc dengan output 160 Tk pada 3.400 rpm dan torsi 245 pada 4.000 rpm. Kompas.com/Nanda New Fortuner Adapun untuk tipe VRZ dan GR Sport disematkan mesin 1GD berkapasitas 2.800 cc turbo diesel yang di atas kertas mampu memproduksi tenaga hingga 201 Tk pada 3.400 rpm dan torsi sebesar 499,1 Nm pada putaran 1.600 sampai 2.800 rpm. Baca juga: Video Viral, Truk Zig-zag dan Oleng Hampir Menimpa Pengendara Motor New Fortuner dibanderol mulai Rp 614.000.000 untuk tipe 2.7 SRZ, hingga Rp 761.700.000 untuk tipe tertinggi yakni 2.8 GR-S.",https://otomotif.kompas.com/read/2024/09/06/164141315/simak-perbedaan-tiga-tipe-toyota-new-fortuner
"Penjualan Drop, VW Akan Tutup 2 Pabrik buat Selamatkan Keuangan",Otomotif,News,Bukan topik pilihan,2024-09-06 16:41:00,"Gilang Satria, Azwar Ferdian",Non Advertorial,"JAKARTA, KOMPAS.com - Volkswagen, merek mobil asal Jerman sedang memasuki tahap krisis. Merek yang biasa disingkat jadi VW itu mengatakan penjualan di Eropa terus menurun. CFO Volkswagen Arno Antlitz, mengatakan pasar VW di Eropa terus tergerus usai pandemi Covid-19, dan tidak akan pulih dalam waktu dekat. Baca juga: Waspada Macet, Ada Rekonstruksi di Jalan Tol Jakarta-Cikampek Disebutkan penjualan VW jatuh sebanyak 500.000 unit per tahun. Memberi VW waktu hanya dua tahun untuk memangkas produksi bengkak guna menstabilkan keuangan. KOMPAS.com/Adityo Wisnu All New VW Tiguan Allspace hadir mengisi segmen SUV 7-penumpang. Mobil asal Jerman tersebut pertama kali meluncur di Gaikindo Indonesia International Auto Show (GIIAS) 2023, Agustus lalu.Dilansir dari Carscoops, Antlitz yang berbicara di depan CEO Volkswagen Oliver Blume, berencana menutup setidaknya dua pabrik untuk menyikapi penurunan tersebut. VW sudah memberitahu para pekerja mengenai rencana tersebut. Jika benar terjadi, maka ini kali pertama dalam sejarah VW menutup pabrik. The Guardian menyebut, dua pabrik tersebut masing-masing ialah pabrik untuk produksi mobil dan pabrik kedua ialah pabrik suku cadang. Baca juga: Pengguna Kendaraan Diimbau Hati-hati Saat Lewat Flyover Manahan Solo Disebutkan karyawan VW di Jerman marah atas rencana tersebut dan serikat pekerja di sana bisa saja melakukan aksi mogok kerja. Kompas.com/Donny Desain eksterior VW T-CrossNamun demikian, bukan cuma pasar Eropa yang turun. Penjualan VW di China yang mana sejak bertahun-tahun lalu merupakan ""lumbung"" penjualan VW juga tergerus. CEO VW Oliver Blume, mengatakan, VW berjuang untuk dapat bersaing di segmen mobil listrik baik di China dan Asia. Para produsen mobil China jualan mobil dengan harga murah yang sulit dikejar. ""Tidak ada lagi cek yang datang dari Tiongkok,"" ujar Blume. Baca juga: Jangan Asal Injak Pedal Gas Mobil Matik CVT Saat di Tanjakan KOMPAS.com/STANLY RAVEL VW Tiguan Allspace Camping Edition Blume bersikeras kalau ada PHK alias pemutusan kerja maka itu yang terbaik, dan bisa mencegah lebih banyak PHK di masa datang. ""Industri otomotif telah berubah secara besar-besaran dalam segmen volume hanya dalam beberapa tahun,"" ujarnya. ""Bersama-sama, kami akan menerapkan langkah-langkah yang tepat untuk menjadi lebih menguntungkan. Itu adalah tanggung jawab kita semua,"" katanya.",https://otomotif.kompas.com/read/2024/09/06/164100915/penjualan-drop-vw-akan-tutup-2-pabrik-buat-selamatkan-keuangan
"Paus Fransiskus Tinggalkan Indonesia, Warga: ""Ciao Papa, Tiamo""",News,Megapolitan,Bukan topik pilihan,2024-09-06 16:40:00,"Shela Octavia, Ambaranie Nadia Kemala Movanita ",Non Advertorial,"JAKARTA, KOMPAS.com - Masyarakat lintas agama turut mengantarkan Paus Fransiskus yang hendak meninggalkan Indonesia untuk melanjutkan perjalanannya. Rasa haru dan rindu itu dicurahkan dengan berbagai cara. Ada yang berteriak lantang mengelukan nama Paus, ada juga yang menuliskan doa dan ucapan terima kasih mereka melalui banner-banner yang diangkat tinggi. Baca juga: Sukacita Bella, Bayi di Kandungannya Diberkati Paus Fransiskus Hal ini dilakukan oleh Boyke Napitupulu (49). Pria asal Jakarta ini sebenarnya bukan umat Katolik. Namun, sosok Paus menyentuh hatinya. Apalagi setelah menonton Misa Akbar yang kemarin juga ditayangkan secara daring. “Saya ingin mengucapkan selamat jalan kepada Bapak Suci Paus ya karena saya sangat terkesan dengan Bapak Paus,” ujar Boyke saat ditemui di dekat Kedutaan Vatikan, Gambir, Jakarta Pusat, Jumat (6/9/2024). Ada dua kertas karton A3 yang dibawa Boyke. Keduanya berisi pesan dalam bahasa Italia yang ditulis tangan menggunakan spidol warna merah muda. “(Karton pertama berisi) 'Benedicimi papa', itu maksudnya ‘berkati kami, papa’. (Kalimat selanjutnya) perche ho peccato, ‘karena kami berdosa’,” kata dia. Lalu, karton kedua bertuliskan “Il non perdo Il sorriso, papa, grazzie mille, ciao papa tiamo”. Boyke mengatakan, isi kertas ini terinspirasi dari pesan yang disampaikan Paus Fransiskus pada misa semalam. “Semalam papa kan pesan kepada kita supaya kita tetap senyum karena orang Indonesia orang yang mudah senyum. Jadi, saya katakan, 'saya tidak lupa senyum, terima kasih banyak selamat tinggal papa, kami menyayangimu',” imbuh dia. Secara tidak langsung, pesan ini merespons langsung pesan dari Paus bagi umat di Indonesia. Baca juga: Cerita Puteri Indonesia 2022 Gendong Keponakan sejak Pagi untuk Diberkati Paus Fransiskus Boyke mengaku baru sempat melihat Paus di hari terakhirnya berada di Jakarta. Sejak kemarin, dia tidak bisa mendapatkan izin dari kantor. Untuk itu, dia menyempatkan diri untuk melihat langsung Paus sebelum ke kantor. Sementara itu, umat dari sejumlah daerah di Indonesia juga ikut mengantarkan Paus yang hendak bertolak ke Papua Nugini. Salah satunya, Yasin Thamrin (44) dari Makassar. Yasin yang sebelumnya sudah sempat mencium tangan Paus kembali hadir di depan Kedutaan Vatikan untuk melihat Paus untuk terakhir kalinya.",https://megapolitan.kompas.com/read/2024/09/06/16405741/paus-fransiskus-tinggalkan-indonesia-warga-ciao-papa-tiamo
"Densus 88 Ingatkan Ancaman ""Bom"" di Media Sosial Bisa Berujung Pidana",News,Nasional,Bukan topik pilihan,2024-09-06 16:38:00,"Kiki Safitri, Bagus Santosa",Non Advertorial,"  JAKARTA, KOMPAS.com –  Detasemen Khusus (Densus) 88 mengingatkan bahwa bercanda atau iseng di media sosial dengan menggunakan kata-kata teror atau ancaman serius, seperti bom atau serangan, dapat berujung pada hukuman pidana. ""Jadi kan kita udah tahu bahwa bercanda atau keisengan dengan menggunakan kata-kata akan menyerang, teror, atau bom atau sebagainya diancam hukuman pidana ya,"" kata Juru Bicara Densus 88, Kombes Aswin Siregar di Jakarta, Jumat (6/8/2024). Baca juga: Densus Tangkap 7 Terduga Provokator Terkait Kedatangan Paus Fransiskus Densus 88 sebelumnya menangkap tujuh terduga teroris terkait ancaman terhadap Paus Fransiskus selama kunjungannya di Indonesia. Ketujuh tersangka yang ditangkap di lokasi berbeda. Mereka adalah HFP, LB, DF, FH, HS, ER, dan RS. Aswin menjelaskan bahwa akun media sosial yang menyebarkan foto dan kata propaganda merupakan akun individu yang baru dibuat. Meskipun kasus ini masih dalam tahap awal penyelidikan, Aswin menegaskan bahwa tindakan tersebut tidak bisa dianggap remeh. ""Postingan di media sosial ini sifatnya individual untuk sementara, dan ini masih dalam penyelidikan lebih lanjut,"" ujarnya. Baca juga: Densus 88 Tangkap Terduga Teroris di Bengkel Wilayah Bekasi Timur Ia menambahkan bahwa dalam konteks keamanan publik, lelucon atau keisengan yang menggunakan kata-kata ancaman, seperti serangan atau pembakaran, bisa dianggap sebagai ancaman serius. ""Kalimat seperti 'saya akan menyerang' atau 'saya akan membakar, tunggu saja waktunya' tidak bisa dianggap bercanda. Kami tidak bisa menunggu apakah ancaman itu nyata atau tidak, pencegahan dini harus dilakukan,"" jelas Aswin. Penyelidikan terus dilakukan untuk memastikan sejauh mana rencana ancaman tersebut, dan hasil penyidikan lebih lanjut akan menentukan apakah ancaman itu hanya terbatas pada kata-kata di media sosial atau sudah ada perencanaan lebih lanjut.",https://nasional.kompas.com/read/2024/09/06/16384531/densus-88-ingatkan-ancaman-bom-di-media-sosial-bisa-berujung-pidana
Sorak Sorai Warga Jakut Saat Dengar Janji Pramono Anung Naikkan Insentif RT dan RW,News,Megapolitan,Pilkada 2024,2024-09-06 16:36:00,"Shinta Dwi Ayu, Fitria Chusna Farisa",Non Advertorial,"JAKARTA, KOMPAS.com - Ratusan warga Jakarta Utara (Jakut) begitu senang ketika bakal calon gubernur (bacagub) Jakarta Pramono Anung menjanjikan kenaikan insentif RT dan RW menjadi dua kali lipat. Saat mengunjungi Komunitas Juang Perempuan (KJP) di Gelanggang Remaja, Jakarta Utara, Jumat (6/8/2024), Pramono berjanji menaikkan insentif RT dan RW menjadi Rp 5 juta setiap bulan. ""Saya baru tahu, insentif RT Rp 2 juta, dan RW Rp 2,5 juta. Saya langsung bilang, kita dobelkan semua RT-RW insentifnya,"" kata Pramono. Baca juga: Temui Komunitas, Pramono Anung Diteriaki Mas Pram, Bang Doel, Jakarta Menyala! Mendengar janji Pramono, ratusan warga Jakarta Utara langsung bersorak gembira. ""Bagus, Pak!"" teriak beberapa warga gembira. Pramono mengatakan, dengan jumlah RW yang mencapai 2.741 dan jumlah RT sebanyak 30.894, tidak sulit untuk menaikkan insentif.  Dalam kesempatan yang sama, seorang ibu yang hadir dalam acara tersebut meminta Pramono tidak hanya menaikkan insentif RT-RW, tetapi juga insentif para kader Juru Pemantau Jentik (Jumantik) dan Dasawisma. ""Untuk kader Dasawisma dan Jumantik juga, Pak,"" kata warga tersebut. Mendengar hal itu, Pramono tertawa. Politikus PDI Perjuangan itu lantas berjanji akan menaikan insentif kader Jumantik dan Dasawisma jika terpilih sebagai gubernur Jakarta. ""Kalau (insentif) RT-RW dinaikin (tapi) kader Jumantik dan Dasawisma tidak, itu kebangetan, bu,"" kata Pramono. Ucapan Pramono itu sontak membuat warga yang hadir bergembira dan kembali bersorak. Adapun pada Pilkada Jakarta 2024, Pramono berpasangan dengan Rano Karno. Dua kader PDI Perjuangan itu diusung oleh PDI-P dan didukung Partai Hanura. Baca juga: Temui Komunitas, Pramono Anung Diteriaki Mas Pram, Bang Doel, Jakarta Menyala! Pramono-Rano saat ini masih berstatus sebagai bakal pasangan calon gubernur dan wakil gubernur Jakarta. Demikian pula dengan Ridwan Kamil-Suswono dan Dharma Pongrekun-Kun Wardana. Pasangan calon kepala daerah akan ditetapkan Komisi Pemilihan Umum (KPU) pada 22 September 2024. Tahapan pilkada memasuki masa kampanye selama 25 September-23 November 2024. Kemudian, sebelum memasuki hari pemungutan suara, 24-26 November 2024 ditetapkan sebagai masa tenang. Hari pemungutan suara Pilkada 2024 akan digelar secara serentak di seluruh Indonesia pada 27 November 2024.",https://megapolitan.kompas.com/read/2024/09/06/16361941/sorak-sorai-warga-jakut-saat-dengar-janji-pramono-anung-naikkan-insentif
Cara Hapus Stiker-stiker di Chat WhatsApp yang Tidak Diinginkan,Tekno,Apps & OS,Bukan topik pilihan,2024-09-06 16:35:00,Soffya Ranti,Non Advertorial,"KOMPAS.com - Stiker di WhatsApp menjadi salah satu cara populer bagi pengguna untuk mengekspresikan diri secara lebih kreatif dalam percakapan. Namun, seiring berjalannya waktu, Anda mungkin menemukan koleksi stiker yang semakin menumpuk, termasuk beberapa yang tidak lagi relevan atau bahkan mengganggu. Bisa jadi terdapat stiker-stiker yang pernah Anda simpan dari percakapan sebelumnya, namun kini Anda ingin membersihkannya untuk membuat koleksi lebih rapi dan sesuai dengan selera Anda saat ini. Dengan mengikuti langkah-langkah ini, Anda bisa mengelola koleksi stiker Anda dengan lebih baik, memastikan hanya stiker favorit yang tetap ada di daftar Anda. Lantas bagaimana cara menghapus stiker di chat WhatsApp yang tidak diinginkan? Selengkapnya berikut ini tutorialnya. Baca juga: 4 Cara Mengembalikan Foto yang Terhapus di WhatsApp dengan Mudah dan Cepat Namun perlu diperhatikan apabila Anda menggunakan cara ini maka tak hanya stiker namun seluruh chat dan obrolan akan terhapus. Itulah cara menghapus stiker-stiker chat di WhatsApp. Selamat mencoba. Baca juga: 2 Trik Mengirim Video Panjang di WhatsApp biar Tidak Terpotong  Dapatkan update berita teknologi dan gadget pilihan setiap hari. Mari bergabung di Kanal WhatsApp KompasTekno.  Caranya klik link https://whatsapp.com/channel/0029VaCVYKk89ine5YSjZh1a. Anda harus install aplikasi WhatsApp terlebih dulu di ponsel.  ",https://tekno.kompas.com/read/2024/09/06/16350037/cara-hapus-stiker-stiker-di-chat-whatsapp-yang-tidak-diinginkan
"Kredit Tumbuh Pesat, Likuiditas Perbankan Kian Ketat",Money,Keuangan,Bukan topik pilihan,2024-09-06 16:32:00,"Rully R. Ramli, Sakina Rakhma Diah Setiawan",Non Advertorial,"JAKARTA, KOMPAS.com - Otoritas Jasa Keuangan (OJK) mencatat, laju pertumbuhan kredit perbankan semakin cepat hingga Agustus 2024. Kepala Eksekutif Pengawas Perbankan OJK Dian Ediana Rae mengatakan, nilai kredit perbankan mencapai Rp 7.478 triliun sampai dengan akhir Juli 2024. Nilai kredit itu tumbuh 12,40 persen secara tahunan (year on year/yoy), lebih tinggi dari laju pertumbuhan bulan sebelumnya, sebesar 12,36 persen (yoy). Baca juga: Tanda Pelemahan Daya Beli Kian Nyata, Ini Strategi Bank Mandiri Jaga Kredit Konsumer KOMPAS.com/ AGUSTINUS RANGGA RESPATI Kepala Eksekutif Pengawas Perbankan OJK Dian Ediana Rae dalam acara Peluncuran Panduan Resiliensi Digital, Selasa (20/8/2024).""Atau 0,48 persen secara bulanan (month to month/mtm),"" kata dia dalam Konferensi Pers Hasil RDK Bulanan Agustus 2024, secara virtual, Jumat (6/9/2024). Sementara itu, dana pihak ketiga (DPK) tumbuh semakin lambat dan di bawah laju pertumbuhan kredit. OJK mencatat, nilai DPK perbakan sebesar Rp 8.687 triliun pada Juli, tumbuh 7,72 persen (yoy), lebih lambat dari bulan sebelumnya sebesar 8,45 persen (yoy). ""Namun terkontraksi sebesar 0,40 persen secara month to month,"" ujar Dian. Baca juga: Program Beli Rumah Bebas Pajak Diperpanjang, BTN Pede Kinerja Kredit Moncer Seiring, dengan perkembangan tersebut, likuiditas perbankan tercatat semakin ketat, terefleksikan rasio alat likuid per non core deposit (AL/NCD) dan alat likuid per DPK (AL/DPK) yang menurun. Tercatat rasio AL/NCD sebesar 109,20 persen, turun dari 112,33 persen pada bulan sebelumnya, sementara rasio AL/DPK sebesar 24,57 persen, turun dari bulan sebelumnya sebesar 25,37 persen. Meskipun demikian, Dian bilang, likuiditas perbankan masih terjaga, sebab dua rasio tersebut masih di atas batas ketentuan yang berlaku.",https://money.kompas.com/read/2024/09/06/163232026/kredit-tumbuh-pesat-likuiditas-perbankan-kian-ketat
